id,order_id,amount,payment_method,status
1,1,803.36,credit_card,completed
2,2,3260.2,gift_card,completed
3,3,490.55,credit_card,completed
4,4,787.71,bank_transfer,completed
5,5,155.6,credit_card,completed
6,6,1263.98,gift_card,failed
7,7,2113.63,bank_transfer,completed
8,8,632.99,credit_card,completed
9,9,859.6,bank_transfer,completed
10,10,1697.55,bank_transfer,completed
11,11,361.99,credit_card,completed
12,12,2053.95,paypal,completed
13,13,1064.56,gift_card,failed
14,14,1155.44,credit_card,completed
15,15,577.72,bank_transfer,completed
16,16,1155.75,paypal,refunded
17,17,2554.17,bank_transfer,completed
18,18,2006.08,gift_card,completed
19,19,544.25,paypal,pending
20,20,2245.52,gift_card,completed
21,21,3079.5,gift_card,refunded
22,22,2295.44,bank_transfer,completed
23,23,1030.89,credit_card,completed
24,24,3656.18,bank_transfer,pending
25,25,1342.2,paypal,completed
26,26,2379.83,paypal,completed
27,27,2763.45,paypal,completed
28,28,853.16,paypal,completed
29,29,451.96,paypal,completed
30,30,572.56,credit_card,completed
31,31,351.69,bank_transfer,completed
32,32,449.64,paypal,completed
33,33,1348.89,credit_card,completed
34,34,1332.75,gift_card,refunded
35,35,3174.93,gift_card,completed
36,36,223.04,gift_card,pending
37,37,1036.92,credit_card,completed
38,38,1191.36,bank_transfer,completed
39,39,1856.22,gift_card,completed
40,40,1564.56,bank_transfer,completed
41,41,2838.0,paypal,completed
42,42,1255.59,paypal,completed
43,43,2857.36,credit_card,pending
44,44,1506.36,paypal,completed
45,45,2203.64,paypal,completed
46,46,2768.64,paypal,completed
47,47,1823.09,bank_transfer,pending
48,48,65.91,bank_transfer,completed
49,49,803.36,bank_transfer,completed
50,50,355.24,bank_transfer,completed
51,51,1789.6,credit_card,completed
52,52,1250.78,paypal,completed
53,53,867.12,paypal,completed
54,54,200.84,bank_transfer,pending
55,55,2601.77,credit_card,pending
56,56,1555.39,credit_card,completed
57,57,2555.09,bank_transfer,completed
58,58,3667.07,gift_card,completed
59,59,833.96,credit_card,completed
60,60,1033.97,bank_transfer,completed
61,61,1537.31,bank_transfer,completed
62,62,1039.5,gift_card,completed
63,63,2685.99,credit_card,completed
64,64,1130.28,paypal,completed
65,65,1981.51,gift_card,completed
66,66,378.18,bank_transfer,completed
67,67,700.08,bank_transfer,pending
68,68,475.68,bank_transfer,completed
69,69,416.0,bank_transfer,refunded
70,70,4154.5,paypal,completed
71,71,983.79,credit_card,completed
72,72,223.04,gift_card,completed
73,73,3488.65,gift_card,completed
74,74,1947.3,credit_card,completed
75,75,2149.82,gift_card,pending
76,76,1348.89,gift_card,completed
77,77,752.56,paypal,pending
78,78,828.72,bank_transfer,completed
79,79,2436.59,paypal,completed
80,80,4102.92,gift_card,completed
81,81,2557.64,bank_transfer,completed
82,82,2478.66,credit_card,failed
83,83,2893.51,gift_card,refunded
84,84,1274.6,paypal,completed
85,85,859.48,credit_card,completed
86,86,1050.12,gift_card,completed
87,87,1167.35,gift_card,completed
88,88,747.69,credit_card,pending
89,89,1163.23,gift_card,completed
90,90,1757.48,bank_transfer,completed
91,91,667.15,gift_card,completed
92,92,1476.46,gift_card,completed
93,93,1150.14,paypal,completed
94,94,1275.41,bank_transfer,completed
95,95,3222.8,gift_card,completed
96,96,1588.4,bank_transfer,pending
97,97,752.56,credit_card,completed
98,98,429.8,credit_card,completed
99,99,3572.75,bank_transfer,completed
100,100,1584.96,bank_transfer,completed
101,101,946.05,paypal,completed
102,102,3285.36,gift_card,completed
103,103,723.45,credit_card,completed
104,104,823.32,bank_transfer,pending
105,105,1592.62,gift_card,completed
106,106,1724.51,paypal,completed
107,107,762.95,bank_transfer,completed
108,108,713.52,bank_transfer,completed
109,109,1277.58,gift_card,completed
110,110,1672.77,bank_transfer,completed
111,111,1155.44,credit_card,completed
112,112,1168.24,credit_card,refunded
113,113,2569.84,bank_transfer,completed
114,114,2107.64,credit_card,completed
115,115,1380.29,bank_transfer,refunded
116,116,2245.85,paypal,completed
117,117,1689.08,gift_card,completed
118,118,143.14,gift_card,completed
119,119,3801.64,paypal,completed
120,120,1128.84,credit_card,completed
121,121,2104.1,gift_card,completed
122,122,1289.4,paypal,completed
123,123,753.18,paypal,completed
124,124,137.0,gift_card,pending
125,125,1601.35,credit_card,completed
126,126,401.68,paypal,completed
127,127,243.72,gift_card,completed
128,128,2716.12,bank_transfer,refunded
129,129,1094.08,gift_card,failed
130,130,1052.68,bank_transfer,completed
131,131,612.33,bank_transfer,completed
132,132,315.35,paypal,refunded
133,133,1447.96,bank_transfer,completed
134,134,288.86,paypal,failed
135,135,990.45,bank_transfer,completed
136,136,2519.94,paypal,completed
137,137,634.36,gift_card,completed
138,138,426.58,bank_transfer,completed
139,139,475.52,bank_transfer,completed
140,140,2435.8,gift_card,pending
141,141,309.52,gift_card,pending
142,142,838.56,paypal,completed
143,143,2590.01,bank_transfer,refunded
144,144,833.96,credit_card,completed
145,145,34.61,gift_card,completed
146,146,1128.84,gift_card,completed
147,147,1380.46,bank_transfer,failed
148,148,1033.96,bank_transfer,completed
149,149,619.04,paypal,completed
150,150,1913.84,paypal,completed
151,151,597.0,credit_card,completed
152,152,243.72,bank_transfer,completed
153,153,918.61,credit_card,completed
154,154,1584.6,paypal,completed
155,155,813.07,paypal,completed
156,156,414.36,gift_card,completed
157,157,1140.1,paypal,completed
158,158,2698.44,bank_transfer,completed
159,159,2257.69,credit_card,failed
160,160,213.73,credit_card,completed
161,161,619.04,paypal,completed
162,162,3572.3,credit_card,failed
163,163,815.72,paypal,completed
164,164,1441.05,paypal,failed
165,165,1313.33,credit_card,refunded
166,166,349.17,gift_card,completed
167,167,639.87,paypal,failed
168,168,1719.14,bank_transfer,pending
169,169,292.22,credit_card,completed
170,170,3911.12,credit_card,failed
171,171,427.17,bank_transfer,completed
172,172,3056.22,gift_card,pending
173,173,1766.6,paypal,pending
174,174,2252.43,gift_card,completed
175,175,2067.31,credit_card,completed
176,176,833.96,gift_card,completed
177,177,1451.78,paypal,completed
178,178,3285.25,bank_transfer,completed
179,179,723.63,paypal,completed
180,180,2505.61,gift_card,pending
181,181,1081.0,bank_transfer,completed
182,182,2095.48,credit_card,completed
183,183,2108.97,paypal,completed
184,184,1025.88,paypal,completed
185,185,1187.13,gift_card,completed
186,186,414.36,bank_transfer,refunded
187,187,2484.65,bank_transfer,completed
188,188,701.01,credit_card,completed
189,189,1798.52,bank_transfer,completed
190,190,424.56,credit_card,completed
191,191,760.05,gift_card,completed
192,192,1637.4,gift_card,completed
193,193,586.52,bank_transfer,completed
194,194,2106.71,bank_transfer,completed
195,195,2926.0,paypal,completed
196,196,1885.35,paypal,completed
197,197,3083.11,gift_card,completed
198,198,1257.36,bank_transfer,completed
199,199,2171.11,gift_card,completed
200,200,4178.59,paypal,completed
